ProductID,ProductName,Category,Price,Stock
1,Statement,Sports,875.39,117
2,Very,Books,228.13,494
3,Good,Electronics,90.81,349
4,Guy,Food,667.84,217
5,Especially,Home,706.78,341
6,Letter,Sports,18.73,494
7,Save,Clothing,716.15,44
8,I,Electronics,925.96,370
9,Cost,Home,894.85,92
10,Police,Food,470.08,108
11,Situation,Clothing,648.34,353
12,Guess,Clothing,501.25,124
13,Upon,Books,830.96,439
14,Movie,Sports,384.69,303
15,Same,Food,21.65,11
16,Television,Electronics,132.78,255
17,Face,Clothing,454.54,342
18,Leave,Toys,86.41,459
19,Student,Food,290.22,219
20,Travel,Food,645.99,339
21,Kitchen,Books,654.13,42
22,Law,Home,10.29,396
23,Few,Toys,407.46,72
24,Wonder,Food,511.19,412
25,Today,Electronics,561.42,253
26,Fly,Toys,496.85,302
27,Instead,Home,849.48,25
28,Notice,Home,845.44,253
29,Southern,Toys,694.3,317
30,Can,Toys,824.7,216
31,Environmental,Clothing,277.92,181
32,Realize,Toys,820.32,455
33,Huge,Home,824.9,445
34,Woman,Toys,541.8,137
35,Five,Home,806.14,262
36,Bank,Clothing,965.35,199
37,Laugh,Toys,431.51,482
38,Ability,Books,586.45,340
39,Bit,Sports,929.23,56
40,End,Toys,843.11,389
41,Good,Home,530.71,452
42,Everything,Books,145.07,164
43,Reason,Books,574.67,319
44,Experience,Home,667.8,455
45,Reflect,Home,327.31,205
46,Color,Sports,123.88,216
47,Everyone,Toys,897.45,135
48,Attention,Electronics,61.24,116
49,Everyone,Electronics,289.71,434
50,Media,Books,342.21,496
51,Us,Home,820.91,285
52,Open,Clothing,95.18,105
53,Wall,Electronics,361.03,394
54,Among,Books,209.43,211
55,Plan,Sports,305.04,498
56,Capital,Food,904.5,450
57,Commercial,Clothing,982.46,145
58,Point,Books,204.2,378
59,Water,Toys,44.54,311
60,Late,Food,803.24,185
61,Through,Toys,885.93,338
62,Central,Food,207.92,94
63,Us,Sports,914.91,211
64,Mr,Food,927.29,292
65,Capital,Clothing,63.35,448
66,Water,Electronics,941.11,108
67,Head,Food,852.57,272
68,Admit,Clothing,250.28,361
69,Recognize,Clothing,191.09,294
70,School,Toys,342.24,382
71,Official,Toys,165.69,372
72,Great,Electronics,146.49,494
73,Each,Sports,54.9,221
74,There,Electronics,364.92,23
75,Ball,Books,990.66,236
76,Sport,Clothing,523.68,216
77,Age,Toys,957.59,334
78,Bag,Electronics,905.31,221
79,Put,Clothing,626.44,236
80,Without,Electronics,204.49,343
81,Compare,Clothing,414.86,63
82,Show,Food,521.0,204
83,Early,Electronics,209.88,184
84,Billion,Books,558.42,419
85,Approach,Books,619.46,211
86,Bit,Food,757.19,491
87,Then,Electronics,639.6,196
88,Knowledge,Food,961.34,77
89,Bed,Electronics,84.77,316
90,Call,Books,381.51,231
91,Hit,Sports,31.52,38
92,Computer,Sports,609.98,379
93,Structure,Electronics,258.4,338
94,Stuff,Clothing,583.08,79
95,Structure,Sports,381.64,335
96,Record,Books,299.74,211
97,Find,Toys,609.11,344
98,Join,Toys,390.89,128
99,Stay,Food,798.22,275
100,Available,Home,682.09,235
101,Far,Food,354.68,100
102,Party,Home,305.67,200
103,Eye,Home,313.19,395
104,Majority,Home,253.17,92
105,Remain,Clothing,912.98,39
106,Up,Clothing,974.33,274
107,End,Food,549.63,39
108,Laugh,Clothing,146.97,399
109,Job,Toys,352.24,320
110,Send,Food,413.01,36
111,According,Clothing,512.7,108
112,Public,Home,40.12,186
113,Measure,Home,659.36,231
114,Social,Sports,754.61,386
115,Nice,Toys,879.54,169
116,Case,Sports,541.14,495
117,Clear,Toys,44.69,263
118,Audience,Electronics,463.3,204
119,Last,Toys,902.31,31
120,Third,Clothing,734.35,118
121,Within,Food,928.43,68
122,Much,Clothing,614.04,65
123,Top,Food,291.92,456
124,Number,Electronics,965.51,285
125,The,Toys,659.0,228
126,Later,Toys,966.0,237
127,Box,Electronics,932.86,187
128,Customer,Home,942.38,432
129,Speak,Books,959.56,213
130,Event,Clothing,195.06,198
131,Window,Food,492.53,59
132,Employee,Sports,153.09,51
133,Life,Food,80.96,416
134,Mean,Books,265.61,191
135,Front,Books,576.88,341
136,Step,Clothing,248.37,132
137,Possible,Books,72.04,221
138,Poor,Toys,513.38,499
139,Affect,Food,369.6,189
140,Work,Electronics,763.07,442
141,Discussion,Toys,775.27,293
142,Tell,Sports,460.36,291
143,Prove,Books,858.26,174
144,Cup,Food,943.08,50
145,Senior,Toys,915.05,379
146,Tend,Toys,369.86,376
147,Design,Home,986.72,17
148,Sport,Toys,482.16,263
149,Describe,Food,375.66,334
150,Difference,Toys,545.62,474
151,Soon,Home,594.4,485
152,Degree,Electronics,297.87,469
153,Environmental,Food,102.85,272
154,Really,Books,958.75,326
155,Rule,Sports,946.36,306
156,Imagine,Electronics,575.57,229
157,Benefit,Food,405.22,456
158,Such,Books,823.9,346
159,Growth,Books,30.04,235
160,Practice,Sports,249.27,355
161,Above,Books,301.89,396
162,Thus,Toys,854.15,484
163,After,Sports,999.93,171
164,Suffer,Clothing,562.01,200
165,Alone,Sports,723.9,234
166,Rise,Clothing,664.39,87
167,Page,Clothing,950.67,237
168,Look,Toys,250.59,285
169,Meeting,Clothing,794.74,173
170,Role,Sports,11.19,37
171,Table,Toys,797.17,275
172,Claim,Food,58.56,210
173,Attack,Food,273.31,280
174,Close,Clothing,28.68,456
175,Fund,Food,585.44,349
176,Unit,Food,599.29,129
177,Save,Sports,553.54,474
178,Film,Home,658.92,305
179,Teacher,Home,5.25,170
180,Herself,Home,792.49,241
181,Happen,Clothing,165.33,3
182,I,Toys,667.0,387
183,Long,Home,34.58,255
184,Place,Books,223.29,2
185,Too,Home,353.73,96
186,House,Toys,712.39,94
187,Go,Home,643.16,489
188,Although,Toys,372.4,378
189,It,Clothing,165.42,74
190,Garden,Books,261.5,229
191,Most,Sports,260.54,286
192,Road,Sports,151.76,475
193,Improve,Food,158.0,127
194,Difficult,Books,202.8,249
195,Guess,Home,489.08,109
196,Campaign,Books,843.18,62
197,Sure,Toys,506.05,410
198,Democratic,Toys,27.37,317
199,Low,Books,602.87,259
200,Cell,Electronics,83.49,194
201,Low,Books,330.02,280
202,Believe,Books,946.74,208
203,Involve,Clothing,274.96,110
204,Lot,Books,168.99,348
205,Discover,Toys,267.7,352
206,Before,Sports,731.16,253
207,Board,Sports,284.97,165
208,Spring,Sports,719.61,486
209,Never,Electronics,394.91,291
210,Official,Clothing,433.67,393
211,Reach,Sports,603.28,339
212,Image,Home,614.01,136
213,Party,Toys,797.4,345
214,Difference,Electronics,593.92,226
215,Hear,Books,91.91,95
216,Tend,Toys,736.94,221
217,Recognize,Clothing,519.82,390
218,Take,Toys,67.88,364
219,Enjoy,Electronics,658.46,429
220,Behind,Toys,492.82,173
221,Each,Food,222.28,114
222,Effect,Clothing,249.54,336
223,Senior,Electronics,153.07,377
224,Beyond,Toys,571.36,219
225,Fall,Food,868.15,481
226,Miss,Books,548.51,49
227,Recent,Food,556.78,186
228,Management,Home,747.49,148
229,Believe,Books,42.06,396
230,Tend,Electronics,144.52,409
231,Future,Home,28.47,11
232,Free,Books,957.98,42
233,Former,Sports,663.07,371
234,Public,Food,340.04,361
235,Away,Books,901.49,395
236,Matter,Sports,933.42,233
237,The,Toys,61.48,328
